id gender race side superspeed superhearing supervision flying invisibility icecontrol superhealing magicpowers spidersense superbrain
260 woman asian villain 1 8 78 66 73 86 22 54 90 63
261 woman european hero 20 33 35 59 15 90 47 15 9 46
262 man asian villain 32 94 28 85 73 8 34 7 25 65
263 man american villain 88 54 89 73 89 2 28 38 88 54
264 woman asian villain 9 36 1 16 72 19 14 84 10 13
265 woman european hero 97 94 53 14 32 61 91 81 10 51
266 woman asian villain 36 26 1 96 94 80 74 80 70 53
267 woman european villain 34 31 86 92 3 72 83 74 72 91
268 man european hero 64 52 69 21 1 52 15 37 67 49
269 man american villain 86 43 26 74 0 15 27 99 0 57
270 woman american hero 95 6 24 74 5 47 26 79 91 31
271 man indian hero 97 27 37 98 56 89 2 53 78 99
272 woman american villain 99 45 70 38 97 83 4 97 52 73
273 man european villain 39 45 21 78 72 45 86 25 59 65
274 woman indian hero 46 21 41 71 25 70 42 9 26 91
275 woman european hero 18 91 1 47 73 55 98 99 22 97
276 man indian villain 100 43 88 56 46 62 88 76 33 85
277 woman indian villain 90 38 33 68 86 71 28 15 83 61
278 woman asian hero 70 56 99 56 83 27 19 57 71 15
279 man american hero 62 81 33 82 82 71 69 45 98 0
280 woman indian hero 76 69 90 81 29 87 30 30 37 8
281 man european hero 99 61 92 72 32 37 97 95 90 58
282 woman asian villain 56 19 93 21 45 83 31 6 75 15
283 man asian hero 31 92 60 19 60 20 38 29 42 12
284 man american hero 68 50 38 57 35 90 42 60 88 58
285 woman indian villain 50 25 81 51 87 94 33 88 82 44
286 man indian hero 16 52 54 97 63 1 52 48 24 12
287 man asian hero 92 53 49 21 9 96 93 94 8 18
288 man asian villain 72 36 26 34 31 72 68 57 53 67
289 man european hero 85 75 87 9 9 94 35 74 93 91
290 man indian villain 69 45 9 1 80 60 80 65 58 69
291 woman asian hero 76 15 73 36 82 77 36 97 39 6
292 woman indian hero 97 37 52 53 89 85 72 30 76 47
293 man american villain 85 25 18 78 49 47 15 9 93 90
294 man american villain 34 90 72 91 42 43 82 88 9 66
295 man european hero 87 68 43 44 43 80 99 97 90 57
296 woman indian hero 47 13 49 33 83 58 9 79 22 81
297 man american hero 28 64 75 10 64 14 3 21 79 67
298 woman indian villain 16 25 16 92 59 52 34 38 68 10
299 man indian villain 98 88 10 3 22 38 14 99 57 85
300 man american villain 32 98 46 27 0 95 49 96 74 48
301 man american villain 42 77 23 35 90 41 21 55 0 34
302 woman asian hero 44 65 100 57 22 24 60 56 68 55
303 man european villain 59 33 46 94 53 49 58 78 73 41
304 woman european villain 78 77 71 28 18 34 1 25 42 63
305 woman european hero 14 19 78 0 58 39 54 22 45 55
306 man european villain 70 81 43 3 26 45 89 98 53 73
307 woman european hero 14 50 68 68 17 15 70 22 90 86
308 man asian villain 36 43 22 49 58 59 19 87 96 47
309 man asian villain 1 74 40 58 95 67 24 46 83 40
310 man indian hero 99 72 9 30 97 7 51 73 97 81
311 man asian hero 78 11 63 100 33 69 83 11 69 27
312 man american villain 18 34 24 33 20 92 42 56 24 70
313 woman asian villain 82 10 35 51 27 28 12 85 82 33
314 woman american villain 66 77 9 13 73 69 83 67 25 40
315 man asian villain 18 84 0 93 20 88 94 72 35 100
316 woman asian villain 26 98 57 81 50 99 66 60 69 20
317 woman american villain 7 83 18 90 62 73 95 63 80 51
318 woman european hero 90 77 70 82 47 67 99 81 11 5
319 man european villain 17 45 65 49 2 28 63 39 83 30
320 man european hero 79 96 31 50 75 0 1 19 6 5
321 man european hero 80 47 2 74 83 83 3 69 19 88
322 woman american hero 71 69 89 99 28 82 59 59 45 18
323 woman asian hero 53 60 90 54 4 26 58 82 13 26
324 man american villain 59 77 20 23 66 50 88 53 64 86
325 man american villain 41 97 78 42 34 68 36 96 67 19
326 woman indian hero 55 84 63 100 4 80 62 28 65 28
327 woman asian villain 78 97 36 84 74 68 27 50 34 11
328 man european villain 16 1 15 87 77 73 66 3 36 82
329 man american hero 33 1 96 32 83 8 16 33 66 28
330 woman european hero 0 61 15 50 68 88 45 28 93 53
331 woman indian hero 6 85 28 3 64 67 92 49 31 7
332 woman asian hero 87 57 1 89 66 66 5 7 74 44
333 man asian villain 80 62 75 63 68 68 31 37 15 50
334 man european hero 31 67 51 25 30 100 24 71 0 34
335 woman indian hero 81 6 9 16 78 33 39 4 78 42
336 woman european hero 28 70 32 32 99 100 92 20 99 9
337 woman american villain 39 44 98 65 98 96 89 50 95 4
338 woman european hero 29 57 78 26 37 48 98 18 19 21
339 man american hero 26 26 51 88 94 82 47 67 98 48
340 man asian hero 46 73 51 33 4 21 2 50 87 25
341 woman asian villain 17 95 89 72 11 15 2 50 60 67
342 woman asian hero 8 20 16 99 39 57 99 30 41 84
343 woman indian villain 86 92 20 86 5 0 0 10 87 5
344 man asian villain 99 87 36 93 7 34 68 51 6 15
345 woman asian villain 68 49 81 46 55 66 13 70 24 97
346 woman indian hero 43 85 97 40 52 55 66 41 11 68
347 man american villain 5 10 62 34 37 71 57 35 47 12
348 woman european hero 47 62 66 37 71 98 26 21 55 44
349 woman asian hero 62 48 20 15 14 13 87 77 69 27
350 woman asian villain 87 61 34 67 92 85 91 57 38 86
351 woman european hero 64 61 61 73 85 62 37 94 19 68
352 woman american hero 63 63 60 92 0 66 5 8 93 8
353 man asian villain 29 9 13 67 74 77 40 0 82 1
354 woman asian villain 73 11 11 83 67 59 86 66 6 39
355 man indian villain 19 65 33 97 96 92 70 89 25 64
356 man asian hero 81 12 12 80 99 98 65 76 96 25
357 woman asian hero 73 44 55 42 76 32 3 27 83 25
358 man asian villain 16 1 87 42 23 69 69 83 32 29
359 woman indian hero 27 37 53 20 90 3 43 0 67 65
360 man european villain 84 53 89 63 25 63 34 47 87 95
361 man european villain 52 47 29 4 74 52 45 72 32 6
362 woman asian hero 79 43 72 93 17 64 18 5 70 8
363 man indian villain 12 76 15 76 21 65 66 87 73 56
364 woman asian hero 28 75 94 40 44 73 22 19 55 67
365 woman asian hero 32 20 7 86 86 43 82 9 49 94
366 woman indian villain 38 54 59 82 99 73 34 16 99 66
367 woman european hero 0 84 37 39 5 55 42 18 95 76
368 woman indian hero 19 79 57 28 93 1 96 56 0 30
369 woman american villain 23 97 41 61 13 71 17 37 33 91
370 woman asian hero 72 7 96 26 82 58 31 53 86 17
371 woman american villain 5 62 29 89 92 63 45 42 84 86
372 woman european villain 2 89 98 20 81 67 12 40 22 37
373 woman american villain 27 55 31 2 75 21 92 71 36 2
374 man asian hero 46 77 62 42 4 41 87 76 69 69
375 man american hero 39 84 56 45 84 37 36 93 12 51
376 man european hero 71 93 46 81 93 75 23 8 10 89
377 woman american villain 98 49 48 61 87 82 16 30 52 89
378 woman european villain 66 97 70 92 43 1 7 49 53 39
379 woman asian villain 100 22 89 98 39 79 65 76 5 6
380 woman indian hero 58 75 77 46 72 47 23 38 90 54
381 man european hero 92 36 90 14 35 30 69 58 13 71
382 man indian villain 5 48 64 86 51 56 90 100 11 88
383 man american hero 86 88 20 71 15 39 56 97 34 90
384 woman european villain 16 54 55 92 40 59 23 39 90 6
385 woman american villain 100 19 71 34 46 54 54 31 31 24
386 man asian villain 47 84 5 64 27 51 81 27 52 66
387 woman indian hero 92 49 98 82 27 59 85 99 6 39
388 man asian villain 62 88 75 15 57 22 24 91 10 16
389 woman american hero 28 56 29 11 14 80 47 94 64 89
390 woman european hero 54 75 6 21 48 33 42 36 34 19
391 man indian villain 51 74 36 98 36 67 99 52 65 34
392 man asian villain 28 32 25 30 81 66 87 24 14 61
393 man asian hero 97 51 81 83 67 82 16 41 7 37
394 woman asian villain 52 14 22 72 10 70 59 92 22 98
395 woman indian hero 37 70 8 40 65 69 89 81 78 29
396 woman european hero 74 48 99 98 86 69 46 55 45 86
397 man european hero 100 54 48 22 4 6 67 43 81 55
398 woman asian hero 1 88 100 88 83 89 28 6 40 88
399 woman american hero 13 68 14 78 26 77 34 32 83 18
400 woman indian villain 8 18 39 81 77 96 57 67 82 97
401 woman indian villain 68 99 65 100 24 74 55 92 18 8
402 man american villain 59 27 10 56 33 45 19 25 38 12
403 man european hero 65 0 8 20 89 69 92 33 73 52
404 woman european hero 35 76 63 66 2 10 30 99 96 29
405 woman indian villain 36 98 41 9 42 52 70 58 27 75
406 woman indian villain 66 35 20 98 90 49 50 87 13 78
407 woman american hero 16 55 11 31 96 74 58 33 82 66
408 man asian villain 3 31 37 32 22 20 83 34 36 7
409 woman asian villain 10 53 8 98 99 47 27 30 95 97
410 man asian villain 30 85 72 95 79 35 40 77 26 20
411 man american villain 13 35 95 60 20 67 69 99 84 95
412 man indian villain 98 29 21 72 92 35 15 73 53 35
413 woman american villain 30 14 50 100 76 66 76 90 10 54
414 woman indian hero 45 5 99 80 6 11 46 34 75 50
415 woman asian hero 22 82 3 98 63 18 71 20 31 12
416 man asian villain 88 45 68 78 36 30 50 70 90 76
417 man american villain 34 9 75 88 68 83 22 65 55 35
418 woman european villain 24 67 97 65 6 92 89 39 9 43
419 man european villain 69 7 67 58 85 11 39 14 53 38
420 woman asian villain 31 95 96 51 78 60 89 14 3 78
421 man asian hero 45 25 6 0 19 4 25 64 57 89
422 woman european villain 74 58 80 32 60 91 11 72 45 30
423 man american villain 37 30 42 19 40 89 97 36 59 97
424 man indian villain 9 65 36 69 30 72 28 34 42 16
425 man asian hero 53 96 68 80 17 55 48 20 45 75
426 woman american hero 25 6 46 32 67 68 55 20 77 38
427 man european villain 7 53 16 91 53 37 1 71 54 70
428 man european villain 24 93 25 70 79 13 68 100 57 51
429 man indian villain 88 3 88 98 79 84 36 6 44 32
430 woman european villain 86 9 72 97 0 18 51 38 42 1
431 man european hero 0 13 51 56 32 95 40 83 20 76
432 man asian villain 4 15 92 60 69 78 80 9 38 6
433 woman indian hero 6 9 37 39 83 79 53 30 33 75
434 woman european hero 96 3 47 44 9 9 27 19 55 40
435 woman asian hero 96 81 43 19 8 75 2 32 46 67
436 man asian villain 13 24 10 80 35 87 75 20 34 49
437 woman american hero 88 64 52 21 91 21 12 88 39 92
438 woman asian villain 92 54 11 97 41 16 57 28 27 98
439 woman indian hero 25 18 60 13 78 34 61 17 64 8
440 woman indian villain 8 3 98 93 35 81 84 81 97 25
441 woman american hero 28 14 30 38 6 64 24 3 47 2
442 man european villain 22 0 99 34 13 37 25 5 98 22
443 man indian villain 57 3 61 74 21 43 69 22 99 53
444 man indian villain 20 56 35 72 53 48 56 70 21 66
445 woman american villain 53 18 82 25 80 80 83 2 23 74
446 woman american villain 20 30 89 92 91 48 19 59 82 66
447 man asian hero 4 49 27 67 65 95 31 25 2 38
448 man european villain 82 81 55 30 80 59 89 63 54 24
449 woman indian hero 57 50 72 100 78 88 16 57 93 43
450 woman indian villain 27 30 84 2 100 26 99 69 76 75
451 man indian hero 98 65 10 34 99 75 56 98 20 78
452 man american hero 13 76 19 87 18 29 80 71 56 96
453 woman indian hero 62 51 73 27 73 94 12 58 45 55
454 woman asian villain 33 22 94 42 56 27 68 81 67 38
455 man american villain 34 95 68 1 90 32 12 39 89 26
456 woman european hero 100 25 52 98 5 50 33 24 92 52
457 woman indian villain 11 52 12 54 31 65 28 54 32 98
458 man european hero 76 27 17 67 46 40 68 59 75 90
459 woman european villain 65 99 31 7 18 45 40 57 58 31
460 woman asian hero 97 88 54 40 88 79 88 62 77 78
461 woman indian hero 11 6 90 16 10 30 41 90 21 67
462 woman indian villain 98 89 85 39 27 51 45 19 68 15
463 man european hero 76 14 66 85 100 5 68 47 39 50
464 man american villain 58 61 54 18 36 77 11 51 94 74
465 man european villain 72 43 52 18 64 92 61 59 32 86
466 woman asian hero 83 14 44 79 65 76 20 92 63 56
467 woman indian villain 19 24 0 89 17 29 96 8 8 53
468 man american hero 8 58 62 35 87 12 81 80 91 0
469 man indian villain 91 29 12 76 0 70 89 60 41 8
470 woman american hero 49 81 33 68 38 79 74 41 98 1
471 woman european villain 36 37 97 54 32 11 75 19 47 21
472 man asian villain 92 11 42 27 76 64 11 92 48 24
473 woman asian villain 25 50 56 85 84 54 3 82 89 96
474 woman european hero 2 9 54 27 74 26 81 19 71 98
475 woman european villain 30 44 37 90 55 31 1 18 57 20
476 woman indian villain 64 70 13 71 11 36 3 94 50 35
477 woman american hero 79 96 7 98 62 41 64 4 56 17
478 man european hero 44 17 27 90 70 72 28 98 37 74
479 woman american hero 8 24 66 9 90 96 71 16 20 69
480 man european hero 41 16 8 30 49 26 70 58 65 28
481 woman american hero 87 43 23 97 45 80 20 51 12 56
482 woman asian hero 93 54 80 81 4 8 64 32 62 80
483 man american villain 41 77 40 54 9 35 99 2 13 62
484 woman american villain 32 9 15 3 85 2 29 60 38 79
485 man indian villain 7 4 87 9 0 72 73 81 63 12
486 man asian hero 42 64 30 17 43 37 16 28 71 95
487 woman asian villain 85 72 54 75 88 39 49 52 55 11
488 man american villain 38 40 99 57 30 35 35 56 77 21
489 man american hero 4 13 95 71 89 99 58 25 28 22
490 woman european hero 67 83 79 61 85 60 16 53 28 81
491 man asian villain 70 15 9 69 61 88 81 35 74 66
492 woman american villain 97 25 41 96 27 78 5 19 79 33
493 man asian hero 22 7 74 73 5 66 57 72 80 22
494 man indian hero 97 42 89 55 68 44 14 88 63 80
495 man american villain 45 52 6 46 47 13 11 25 41 14
496 man american villain 9 46 89 62 64 33 25 32 97 41
